2 61.000000 36.429900 2
2 37.510000 11.019400 1
2 58.230000 5.274500 1
2 37.690000 25.211000 1
1 5.610000 85.260700 1
1 50.740000 93.197300 1
1 11.380000 97.466200 1
2 99.570000 38.916100 2
1 5.580000 76.055600 1
2 95.580000 49.731400 2
2 45.260000 10.721600 2
2 95.940000 32.627400 2
2 62.930000 30.057000 2
2 75.500000 21.974600 1
1 71.960000 93.645000 1
1 3.550000 93.485800 1
2 59.740000 41.076300 2
2 8.700000 4.972400 2
2 36.990000 2.965200 2
1 50.940000 80.324700 2
1 45.610000 92.587200 1
1 11.440000 71.927100 2
1 51.900000 59.425700 2
1 38.430000 61.048300 1
1 56.450000 93.439700 1
1 78.420000 87.638400 1
2 89.940000 23.618700 2
1 79.180000 91.834600 1
2 67.290000 24.575900 2
2 69.460000 46.188700 2
1 11.400000 87.495100 1
2 64.400000 35.940100 2
1 32.420000 87.801200 1
2 58.160000 7.975600 2
1 38.600000 62.210900 1
1 8.200000 93.139700 1
1 76.880000 87.649500 1
2 44.760000 3.293000 2
1 12.140000 67.832100 1
1 8.470000 75.913300 1
1 26.520000 80.356500 1
1 30.420000 70.297500 1
2 46.550000 20.913600 2
2 72.770000 13.553600 2
2 80.160000 21.569300 2
2 58.740000 42.362700 2
1 65.850000 98.221000 1
2 96.020000 19.335800 2
1 40.720000 55.539600 1
1 48.450000 97.330200 1
2 74.430000 48.099100 1
2 83.090000 15.165600 2
2 70.620000 34.098600 2
1 57.420000 76.117400 1
1 26.890000 55.453300 1
1 30.820000 70.056500 1
1 28.230000 83.141300 1
2 31.200000 10.300100 2
1 84.400000 93.026700 1
1 14.860000 74.847500 1
1 51.740000 70.910600 1
2 78.070000 26.962300 2
2 85.910000 18.497000 2
1 52.670000 85.885500 1
2 47.870000 13.582400 2
1 19.000000 57.935800 1
1 32.270000 56.579300 1
2 88.100000 9.044100 2
2 92.790000 7.525400 2
1 10.960000 68.484000 1
2 93.580000 17.275100 2
1 1.330000 89.484400 1
2 43.350000 2.813400 2
1 20.830000 67.560500 1
2 72.000000 1.885200 2
2 92.830000 45.039700 2
1 11.680000 55.978900 2
2 96.440000 28.611200 2
1 36.130000 83.484300 1
2 87.330000 39.810800 2
1 64.710000 68.023700 1
2 62.450000 36.182100 2
2 61.400000 38.516400 2
2 83.860000 49.268700 2
2 97.930000 19.873000 2
1 64.860000 77.977000 1
1 7.960000 82.715800 1
1 12.360000 81.704200 1
2 69.440000 10.474300 2
2 26.470000 12.700200 2
1 43.360000 70.624600 1
1 12.210000 59.909300 1
2 96.900000 42.567100 1
2 50.440000 7.733800 2
2 48.890000 2.852600 2
1 41.980000 50.942600 2
2 63.170000 12.616600 1
1 24.960000 88.108200 1
1 63.020000 99.614100 1
1 10.230000 73.518200 1
2 61.000000 36.429900 2
2 37.510000 11.019400 2
2 58.230000 5.274500 2
2 37.690000 25.211000 2
1 5.610000 85.260700 1
1 50.740000 93.197300 1
1 11.380000 97.466200 1
2 99.570000 38.916100 2
1 5.580000 76.055600 1
2 95.580000 49.731400 1
2 45.260000 10.721600 2
2 95.940000 32.627400 2
2 62.930000 30.057000 2
2 75.500000 21.974600 2
1 71.960000 93.645000 1
