Subject Number       Block Number         Trials per Block     Accuracy             Best Model by BIC    BIC Score            Best Model by NLL    NLL Score           
16                   6                    100                  0.7100000000         Unidimensional X     75.8375182647        Equal GLC            33.2918592052       
16                   7                    100                  0.6000000000         Unidimensional X     97.1510815550        Equal GLC            42.6243736324       
16                   8                    100                  0.6100000000         Unidimensional X     85.4368853428        Equal GLC            36.6582060253       
17                   1                    100                  0.7800000000         Unidimensional X     95.7635331626        Equal GLC            42.3234855444       
17                   2                    100                  0.7600000000         Equal GLC            92.8825015040        Equal GLC            39.5334954730       
17                   3                    100                  0.7000000000         Unidimensional X     84.5955572617        Equal GLC            37.5047594485       
17                   4                    100                  0.7700000000         Equal GLC            92.2704316926        Equal GLC            39.2274605673       
17                   5                    100                  0.8200000000         Equal GLC            88.3156045588        Equal GLC            37.2500470004       
17                   6                    100                  0.8600000000         Equal GLC            68.2362254785        Equal GLC            27.2103574603       
17                   7                    100                  0.7800000000         Equal GLC            96.9263807280        Equal GLC            41.5554350850       
17                   8                    100                  0.7800000000         Equal GLC            99.8998979379        Equal GLC            43.0421936900       
20                   1                    100                  0.7600000000         Unidimensional X     90.6580827357        Equal GLC            38.5410868127       
20                   2                    100                  0.8200000000         Equal GLC            61.6858397476        Equal GLC            23.9351645948       
20                   3                    100                  0.7100000000         Unidimensional X     69.9277270110        Equal GLC            29.9448933478       
20                   4                    100                  0.7800000000         Equal GLC            79.5062883920        Equal GLC            32.8453889170       
20                   5                    100                  0.7800000000         Equal GLC            68.4395790280        Equal GLC            27.3120342350       
20                   6                    100                  0.8200000000         Equal GLC            73.3571883592        Equal GLC            29.7708389006       
20                   7                    100                  0.8600000000         Equal GLC            82.3799020344        Equal GLC            34.2821957382       
20                   8                    100                  0.7700000000         Equal GLC            86.5019162055        Equal GLC            36.3432028238       
21                   1                    100                  0.7200000000         Unidimensional X     102.7100077090       Equal GLC            46.6623954921       
21                   2                    100                  0.7700000000         Unidimensional X     87.6261225243        Equal GLC            37.1091721629       
21                   3                    100                  0.7600000000         Unidimensional X     123.2889095408       Equal GLC            56.1938487743       
21                   4                    100                  0.6900000000         Equal GLC            122.9111714049       Equal GLC            54.5478304235       
21                   5                    100                  0.7200000000         Unidimensional X     112.8785721195       Equal GLC            49.6860179372       
21                   6                    100                  0.6900000000         Unidimensional X     121.3194159834       Unidimensional X     56.0545378057       
21                   7                    100                  0.7700000000         Equal GLC            91.3846983034        Equal GLC            38.7845938727       
21                   8                    100                  0.8000000000         Equal GLC            91.3894831218        Equal GLC            38.7869862819       
22                   1                    100                  0.7300000000         Equal GLC            125.9657675981       Equal GLC            56.0751285201       
