Subject Number       Block Number         Trials per Block     Accuracy             Best Model by BIC    BIC Score            Best Model by NLL    NLL Score           
204                  3                    100                  0.9500000000         Equal GLC            52.8677164103        Equal GLC            19.5261029261       
204                  4                    100                  0.9300000000         Unidimensional X     45.4063511631        Equal GLC            17.1549460275       
204                  5                    100                  0.6700000000         Unidimensional X     136.1890419051       Equal GLC            61.6702127822       
204                  6                    100                  0.6500000000         Guessing             138.6294361120       Equal GLC            65.8176082339       
209                  1                    100                  0.9100000000         Equal GLC            66.7665201816        Equal GLC            26.4755048118       
209                  2                    100                  0.9700000000         Unidimensional Y     35.9060040111        Equal GLC            13.3478318196       
209                  3                    100                  0.6800000000         Equal GLC            82.8823615828        Equal GLC            34.5334255124       
209                  4                    100                  0.8600000000         Equal GLC            73.4766946807        Equal GLC            29.8305920614       
209                  5                    100                  0.8000000000         Equal GLC            80.5573427866        Equal GLC            33.3709161143       
209                  6                    100                  0.8600000000         Equal GLC            73.1306837929        Equal GLC            29.6575866174       
210                  1                    100                  0.9200000000         Equal GLC            64.8666066685        Equal GLC            25.5255480553       
210                  2                    100                  0.8500000000         Equal GLC            70.4636138829        Equal GLC            28.3240516625       
210                  3                    100                  0.6100000000         Unidimensional X     104.5420415405       Unidimensional X     47.6658505843       
210                  4                    100                  0.6400000000         Unidimensional X     84.5446444354        Unidimensional X     37.6671520317       
210                  5                    100                  0.6400000000         Unidimensional X     98.7592476137        Equal GLC            44.5843301496       
210                  6                    100                  0.5100000000         Unidimensional X     135.8838301796       Equal GLC            62.5888620710       
211                  1                    100                  0.7200000000         Equal GLC            111.2362734472       Equal GLC            48.7103814446       
211                  2                    100                  0.9500000000         Unidimensional Y     51.1067962337        Equal GLC            20.3746702624       
211                  3                    100                  0.7900000000         Unidimensional Y     49.2353833208        Equal GLC            19.1348121018       
211                  4                    100                  0.7600000000         Unidimensional Y     68.4310100803        Equal GLC            27.9640268571       
211                  5                    100                  0.8100000000         Equal GLC            98.4188368886        Equal GLC            42.3016631653       
211                  6                    100                  0.8300000000         Equal GLC            79.8612933540        Equal GLC            33.0228913980       
212                  1                    100                  0.9200000000         Unidimensional Y     68.7480446803        Equal GLC            29.7681679402       
212                  2                    100                  0.9500000000         Unidimensional Y     25.6140385182        Equal GLC            8.1976514426        
