Subject Number       Block Number         Trials per Block     Accuracy             Best Model by BIC    BIC Score            Best Model by NLL    NLL Score           
37                   5                    100                  0.9300000000         Unidimensional X     49.1187548342        Unidimensional X     19.9542072311       
37                   6                    100                  0.9400000000         Unidimensional X     46.8970235858        Equal GLC            17.9750530059       
37                   7                    100                  0.6900000000         Equal GLC            110.6524796370       Equal GLC            48.4184845395       
37                   8                    100                  0.7200000000         Equal GLC            116.2124921955       Equal GLC            51.1984908188       
41                   1                    100                  0.9300000000         Unidimensional X     41.8253358288        Unidimensional X     16.3074977284       
41                   2                    100                  0.9500000000         Unidimensional X     31.1349441527        Unidimensional X     10.9623018904       
41                   3                    100                  0.9700000000         Unidimensional X     18.8388229824        Equal GLC            3.9761074487        
41                   4                    100                  0.7800000000         Equal GLC            102.3762618944       Equal GLC            44.2803756682       
41                   5                    100                  0.8900000000         Unidimensional Y     73.3570397787        Equal GLC            30.2297382620       
41                   6                    100                  0.8900000000         Equal GLC            71.2701008118        Equal GLC            28.7272951269       
41                   7                    100                  0.8400000000         Equal GLC            65.0581049304        Equal GLC            25.6212971862       
41                   8                    100                  0.8700000000         Equal GLC            71.5221680905        Equal GLC            28.8533287663       
43                   1                    100                  0.8400000000         Unidimensional Y     90.0666668928        Equal GLC            39.3220654900       
43                   2                    100                  0.8800000000         Unidimensional Y     59.7358710250        Unidimensional Y     25.2627653265       
43                   3                    100                  0.8600000000         Unidimensional Y     68.8357059118        Equal GLC            29.8037229600       
43                   4                    100                  0.9300000000         Equal GLC            76.5649335990        Equal GLC            31.3747115205       
43                   5                    100                  0.9000000000         Equal GLC            74.0385929907        Equal GLC            30.1115412164       
43                   6                    100                  0.9100000000         Equal GLC            59.8927392906        Equal GLC            23.0386143663       
43                   7                    100                  0.7100000000         Equal GLC            99.6720876572        Equal GLC            42.9282885496       
43                   8                    100                  0.7300000000         Equal GLC            93.1756488832        Equal GLC            39.6800691626       
45                   1                    100                  0.8900000000         Unidimensional X     58.9272011057        Unidimensional X     24.8584303669       
45                   2                    100                  0.9100000000         Unidimensional X     54.0641047610        Unidimensional X     22.4268821945       
45                   3                    100                  0.8600000000         Unidimensional X     85.0937041597        Equal GLC            35.8495967638       
45                   4                    100                  0.5600000000         Unidimensional X     118.1468480406       Equal GLC            54.4658993310       
45                   5                    100                  0.5300000000         Biased Guessing      136.3963063226       Equal GLC            65.1833588405       
45                   6                    100                  0.5600000000         Unidimensional X     120.1536298797       Unidimensional X     55.4716447538       
45                   7                    100                  0.6400000000         Unidimensional X     124.8805257796       Equal GLC            57.7740423174       
45                   8                    100                  0.6100000000         Unidimensional X     130.5644999858       Unidimensional X     60.6770798069       
47                   1                    100                  0.6500000000         Unidimensional Y     111.8219982599       Equal GLC            51.3044954816       
47                   2                    100                  0.8200000000         Equal GLC            97.0918552926        Equal GLC            41.6381723673       
47                   3                    100                  0.9400000000         Unidimensional X     41.3185974459        Equal GLC            15.5943861564       
47                   4                    100                  0.8400000000         Equal GLC            81.4588862870        Equal GLC            33.8216878645       
47                   5                    100                  0.9000000000         Unidimensional Y     60.1342023090        Equal GLC            24.6721437050       
