Subject Number       Block Number         Trials per Block     Accuracy             Best Model by BIC    BIC Score            Best Model by NLL    NLL Score           
21                   6                    100                  0.9000000000         Equal GLC            36.9948866407        Equal GLC            11.5896880414       
21                   7                    100                  0.8100000000         Equal GLC            75.9099706792        Equal GLC            31.0472300606       
21                   8                    100                  0.8400000000         Equal GLC            60.3400104973        Equal GLC            23.2622499697       
22                   1                    100                  0.5600000000         Unidimensional Y     130.3688292523       Equal GLC            60.4196413678       
22                   2                    100                  0.6200000000         Biased Guessing      135.2888091447       Unidimensional Y     63.9831719978       
22                   3                    100                  0.4900000000         Biased Guessing      136.3963063226       Biased Guessing      65.8955680683       
22                   4                    100                  0.5400000000         Guessing             138.6294361120       Biased Guessing      68.0292000192       
22                   5                    100                  0.6000000000         Guessing             138.6294361120       Equal GLC            67.5455536061       
22                   6                    100                  0.6300000000         Guessing             138.6294361120       Equal GLC            64.7321109008       
22                   7                    100                  0.6600000000         Equal GLC            129.3075718451       Equal GLC            57.7460306436       
22                   8                    100                  0.7400000000         Equal GLC            116.1642687038       Equal GLC            51.1743790729       
41                   1                    100                  0.7800000000         Equal GLC            97.1584534492        Equal GLC            41.6714714456       
41                   2                    100                  0.8800000000         Equal GLC            71.9405660674        Equal GLC            29.0625277547       
41                   3                    100                  0.8400000000         Equal GLC            79.2861901446        Equal GLC            32.7353397933       
41                   4                    100                  0.8200000000         Equal GLC            85.5943257311        Equal GLC            35.8894075866       
41                   5                    100                  0.9000000000         Equal GLC            63.8533038391        Equal GLC            25.0188966406       
41                   6                    100                  0.9000000000         Equal GLC            61.8497421658        Equal GLC            24.0171158039       
41                   7                    100                  0.8100000000         Equal GLC            85.0188674834        Equal GLC            35.6016784627       
41                   8                    100                  0.8600000000         Equal GLC            97.9883022151        Equal GLC            42.0863958286       
42                   1                    100                  0.7100000000         Equal GLC            125.6387295919       Equal GLC            55.9116095170       
42                   2                    100                  0.7800000000         Equal GLC            101.6234682427       Equal GLC            43.9039788424       
42                   3                    100                  0.9000000000         Equal GLC            61.0844123931        Equal GLC            23.6344509176       
42                   4                    100                  0.7400000000         Equal GLC            99.3226934201        Equal GLC            42.7535914311       
42                   5                    100                  0.8100000000         Equal GLC            92.3106972219        Equal GLC            39.2475933319       
42                   6                    100                  0.7900000000         Equal GLC            106.2368802224       Equal GLC            46.2106848322       
42                   7                    100                  0.7800000000         Equal GLC            81.5129053058        Equal GLC            33.8486973739       
42                   8                    100                  0.7600000000         Equal GLC            91.2903031621        Equal GLC            38.7373963020       
43                   1                    100                  0.4900000000         Unidimensional X     136.4925240468       Equal GLC            63.6362417136       
43                   2                    100                  0.5700000000         Unidimensional X     111.3569223831       Equal GLC            51.0638299930       
43                   3                    100                  0.5600000000         Unidimensional X     136.2477843757       Equal GLC            63.3714149043       
43                   4                    100                  0.6700000000         Unidimensional X     119.7604742688       Unidimensional X     55.2750669484       
43                   5                    100                  0.6600000000         Unidimensional X     121.6824740352       Equal GLC            56.0971463012       
43                   6                    100                  0.6300000000         Unidimensional X     121.9248088067       Equal GLC            54.8843804265       
43                   7                    100                  0.7100000000         Unidimensional X     104.6475062240       Equal GLC            47.5061715914       
43                   8                    100                  0.6600000000         Unidimensional X     129.0284669215       Equal GLC            59.5450626697       
44                   1                    100                  0.6900000000         Equal GLC            112.3292209198       Equal GLC            49.2568551809       
44                   2                    100                  0.8000000000         Equal GLC            101.9372365441       Equal GLC            44.0608629931       
44                   3                    100                  0.7000000000         Equal GLC            100.4063210184       Equal GLC            43.2954052302       
44                   4                    100                  0.6500000000         Guessing             138.6294361120       Equal GLC            64.0842794322       
44                   5                    100                  0.6800000000         Equal GLC            131.4068033105       Equal GLC            58.7956463763       
44                   6                    100                  0.6200000000         Guessing             138.6294361120       Equal GLC            63.6025112155       
44                   7                    100                  0.7300000000         Equal GLC            115.0440485722       Equal GLC            50.6142690071       
44                   8                    100                  0.6700000000         Equal GLC            122.4372517628       Equal GLC            54.3108706024       
101                  1                    100                  0.6300000000         Equal GLC            136.9136867673       Equal GLC            61.5490881047       
101                  2                    100                  0.6300000000         Unidimensional X     114.6720007281       Unidimensional X     52.7308301781       
101                  3                    100                  0.7400000000         Equal GLC            108.5811652821       Equal GLC            47.3828273621       
101                  4                    100                  0.8200000000         Equal GLC            85.1797104083        Equal GLC            35.6820999252       
101                  5                    100                  0.8400000000         Equal GLC            81.5182388387        Equal GLC            33.8513641404       
101                  6                    100                  0.8500000000         Equal GLC            81.4503458035        Equal GLC            33.8174176227       
101                  7                    100                  0.8800000000         Equal GLC            82.6097449602        Equal GLC            34.3971172011       
101                  8                    100                  0.8400000000         Equal GLC            86.8757870475        Equal GLC            36.5301382448       
102                  1                    100                  0.6900000000         Unidimensional X     120.4742504028       Equal GLC            55.2348976182       
102                  2                    100                  0.8400000000         Equal GLC            80.3856815500        Equal GLC            33.2850854960       
102                  3                    100                  0.7300000000         Equal GLC            106.2938690738       Equal GLC            46.2391792579       
102                  4                    100                  0.7500000000         Equal GLC            103.6926726669       Equal GLC            44.9385810545       
102                  5                    100                  0.6500000000         Unidimensional X     126.9594579597       Unidimensional X     58.8745587939       
102                  6                    100                  0.7000000000         Equal GLC            123.5993754004       Equal GLC            54.8919324212       
102                  7                    100                  0.5700000000         Biased Guessing      134.0944979929       Biased Guessing      64.7446639035       
102                  8                    100                  0.6400000000         Equal GLC            130.5959024828       Equal GLC            58.3901959624       
103                  1                    100                  0.7200000000         Equal GLC            114.7685815866       Equal GLC            50.4765355143       
103                  2                    100                  0.7800000000         Equal GLC            98.1123997909        Equal GLC            42.1484446165       
103                  3                    100                  0.8500000000         Equal GLC            78.5443069479        Equal GLC            32.3643981950       
103                  4                    100                  0.8100000000         Equal GLC            76.3646096160        Equal GLC            31.2745495290       
103                  5                    100                  0.8100000000         Equal GLC            90.7622861254        Equal GLC            38.4733877837       
103                  6                    100                  0.8100000000         Equal GLC            87.6406529865        Equal GLC            36.9125712143       
103                  7                    100                  0.8000000000         Equal GLC            93.4879674117        Equal GLC            39.8362284269       
103                  8                    100                  0.7900000000         Equal GLC            96.8958653058        Equal GLC            41.5401773739       
104                  1                    100                  0.5400000000         Unidimensional Y     124.2281291634       Equal GLC            57.1942507852       
104                  2                    100                  0.6000000000         Unidimensional X     123.8193141590       Equal GLC            57.2365771490       
104                  3                    100                  0.6500000000         Unidimensional X     117.1356698039       Unidimensional X     53.9626647160       
104                  4                    100                  0.5300000000         Biased Guessing      136.3963063226       Biased Guessing      65.8955680683       
104                  5                    100                  0.5400000000         Guessing             138.6294361120       Biased Guessing      68.3314913574       
104                  6                    100                  0.5300000000         Biased Guessing      138.3547875563       Biased Guessing      66.8748086852       
104                  7                    100                  0.4600000000         Guessing             138.6294361120       Biased Guessing      69.1346099002       
104                  8                    100                  0.5600000000         Guessing             138.6294361120       Biased Guessing      68.9943758458       
105                  1                    100                  0.7400000000         Unidimensional X     67.9773268661        Equal GLC            29.3515839871       
105                  2                    100                  0.7600000000         Unidimensional X     61.4423294964        Equal GLC            26.1054380667       
105                  3                    100                  0.7100000000         Unidimensional X     69.4947048890        Equal GLC            29.6387471118       
105                  4                    100                  0.6700000000         Unidimensional X     98.3847357034        Equal GLC            43.7773619557       
105                  5                    100                  0.6500000000         Unidimensional X     111.7583961170       Equal GLC            51.1237489322       
105                  6                    100                  0.7300000000         Unidimensional X     116.2751015306       Unidimensional X     53.5323805793       
105                  7                    100                  0.7800000000         Equal GLC            102.0704632321       Equal GLC            44.1274763371       
105                  8                    100                  0.7600000000         Equal GLC            81.3080166476        Equal GLC            33.7462530448       
