Subject Number       Block Number         Trials per Block     Accuracy             Best Model by BIC    BIC Score            Best Model by NLL    NLL Score           
206                  3                    100                  0.8700000000         Unidimensional X     87.5472487964        Equal GLC            37.4717155032       
206                  4                    100                  0.9500000000         Unidimensional X     44.9221674683        Equal GLC            16.0098429085       
206                  5                    100                  0.6900000000         Unidimensional Y     117.9169016925       Equal GLC            52.9830565601       
206                  6                    100                  0.6700000000         Equal GLC            129.3786265404       Equal GLC            57.7815579912       
207                  1                    100                  0.8900000000         Unidimensional Y     59.6419204714        Equal GLC            24.8964581672       
207                  2                    100                  0.9600000000         Equal GLC            37.5371467300        Equal GLC            11.8608180860       
207                  3                    100                  0.9400000000         Unidimensional X     55.9912205412        Unidimensional X     23.3904400846       
207                  4                    100                  0.9500000000         Unidimensional X     60.8765485024        Unidimensional X     25.8331040652       
207                  5                    100                  0.7800000000         Equal GLC            89.6240570604        Equal GLC            37.9042732512       
207                  6                    100                  0.9200000000         Equal GLC            53.0338979657        Equal GLC            19.6091937039       
216                  1                    100                  0.7700000000         Unidimensional Y     87.5384418125        Equal GLC            38.9295302939       
216                  2                    100                  0.8500000000         Unidimensional Y     75.4361798429        Equal GLC            31.2422240689       
216                  3                    100                  0.8500000000         Equal GLC            74.5586355425        Equal GLC            30.3715624923       
216                  4                    100                  0.8800000000         Equal GLC            66.1434057942        Equal GLC            26.1639476181       
216                  5                    100                  0.7500000000         Unidimensional X     100.4631402522       Equal GLC            44.2864324117       
216                  6                    100                  0.7400000000         Equal GLC            105.1119925496       Equal GLC            45.6482409958       
217                  1                    100                  0.8500000000         Unidimensional Y     80.7622218185        Equal GLC            35.6303012357       
217                  2                    100                  0.9500000000         Equal GLC            45.1549444042        Equal GLC            15.6697169231       
217                  3                    100                  0.8800000000         Equal GLC            72.2873313766        Equal GLC            29.2359104093       
217                  4                    100                  0.8500000000         Equal GLC            62.1124481273        Equal GLC            24.1484687847       
217                  5                    100                  0.8600000000         Equal GLC            62.9935219680        Equal GLC            24.5890057050       
217                  6                    100                  0.8600000000         Equal GLC            70.7691069063        Equal GLC            28.4767981742       
301                  1                    100                  0.7900000000         Equal GLC            108.5294210311       Equal GLC            47.3569552366       
301                  2                    100                  0.9100000000         Equal GLC            54.6529213923        Equal GLC            20.4187054172       
301                  3                    100                  0.9100000000         Equal GLC            57.5556025207        Equal GLC            21.8700459814       
301                  4                    100                  0.9300000000         Unidimensional X     31.8221164731        Unidimensional X     11.3058880505       
301                  5                    100                  0.7200000000         Unidimensional Y     96.1117530669        Equal GLC            43.1617095787       
301                  6                    100                  0.7700000000         Unidimensional Y     79.8515146691        Equal GLC            33.8440363756       
302                  1                    100                  0.8800000000         Unidimensional Y     76.7986975004        Equal GLC            32.9574006962       
302                  2                    100                  0.8800000000         Unidimensional Y     65.8151057801        Equal GLC            28.2536409291       
302                  3                    100                  0.9200000000         Unidimensional X     69.9308549562        Equal GLC            30.0906774260       
302                  4                    100                  0.9300000000         Equal GLC            58.1984789943        Equal GLC            22.1914842182       
302                  5                    100                  0.7200000000         Equal GLC            122.4024531319       Equal GLC            54.2934712870       
302                  6                    100                  0.8800000000         Equal GLC            70.9696331728        Equal GLC            28.5770613074       
320                  1                    100                  0.8800000000         Unidimensional X     71.6966031028        Unidimensional X     31.2431313654       
320                  2                    100                  0.9100000000         Unidimensional X     65.2756093532        Equal GLC            26.8334071830       
320                  3                    100                  0.8300000000         Equal GLC            96.3211968899        Equal GLC            41.2528431660       
320                  4                    100                  0.8300000000         Unidimensional Y     94.7340697325        Equal GLC            42.5412511959       
320                  5                    100                  0.7200000000         Equal GLC            116.4449302148       Equal GLC            51.3147098284       
320                  6                    100                  0.7400000000         Unidimensional Y     86.3191556418        Equal GLC            38.5190684088       
322                  1                    100                  0.9100000000         Unidimensional Y     64.5799741480        Equal GLC            27.4996831517       
322                  2                    100                  0.9400000000         Unidimensional Y     31.2399331649        Equal GLC            10.6329018186       
322                  3                    100                  0.9000000000         Equal GLC            68.5159234115        Equal GLC            27.3502064268       
322                  4                    100                  0.9800000000         Unidimensional X     22.7111554153        Equal GLC            6.7319845768        
322                  5                    100                  0.6800000000         Equal GLC            117.3470475063       Equal GLC            51.7657684742       
322                  6                    100                  0.7500000000         Equal GLC            108.3818921416       Equal GLC            47.2831907918       
