Subject Number       Block Number         Trials per Block     Accuracy             Best Model by BIC    BIC Score            Best Model by NLL    NLL Score           
1                    1                    100                  0.6800000000         Unidimensional X     90.0293439127        Equal GLC            40.3643318302       
1                    2                    100                  0.7400000000         Unidimensional X     64.5839335563        Equal GLC            27.0148178924       
1                    3                    100                  0.8000000000         Equal GLC            66.7040332437        Equal GLC            26.4442613429       
1                    4                    100                  0.7900000000         Equal GLC            86.2910649186        Equal GLC            36.2377771803       
1                    5                    100                  0.8000000000         Equal GLC            81.4410505577        Equal GLC            33.8127699999       
1                    6                    100                  0.8100000000         Equal GLC            85.3978399656        Equal GLC            35.7911647038       
1                    7                    100                  0.6100000000         Unidimensional X     108.6793538960       Equal GLC            48.0841102872       
1                    8                    100                  0.6600000000         Unidimensional X     120.6916057447       Equal GLC            55.7403321723       
2                    1                    100                  0.6300000000         Unidimensional X     121.1305569690       Unidimensional X     55.9601082985       
2                    2                    100                  0.6200000000         Unidimensional X     105.1811685957       Unidimensional X     47.9854141119       
2                    3                    100                  0.7000000000         Unidimensional X     101.4253695085       Equal GLC            46.0827216979       
2                    4                    100                  0.5700000000         Guessing             138.6294361120       Unidimensional X     66.8392236559       
2                    5                    100                  0.7400000000         Unidimensional X     75.7306195256        Equal GLC            33.2583943437       
2                    6                    100                  0.6800000000         Unidimensional X     95.7729097348        Equal GLC            42.9924637666       
2                    7                    100                  0.7700000000         Unidimensional X     72.4035391254        Equal GLC            30.9260227011       
2                    8                    100                  0.7500000000         Unidimensional X     120.8773963296       Equal GLC            53.9286563441       
3                    1                    100                  0.7200000000         Equal GLC            110.6420899650       Equal GLC            48.4132897035       
3                    2                    100                  0.7500000000         Equal GLC            99.7226169747        Equal GLC            42.9535532084       
3                    3                    100                  0.7900000000         Equal GLC            93.4417261970        Equal GLC            39.8131078195       
3                    4                    100                  0.7400000000         Equal GLC            97.5381358455        Equal GLC            41.8613126438       
3                    5                    100                  0.7400000000         Equal GLC            93.6652010218        Equal GLC            39.9248452319       
3                    6                    100                  0.8000000000         Equal GLC            87.6190120296        Equal GLC            36.9017507358       
3                    7                    100                  0.5000000000         Biased Guessing      134.0944979929       Equal GLC            63.2058549629       
3                    8                    100                  0.6200000000         Unidimensional X     129.8861643447       Unidimensional X     60.3379119864       
4                    1                    100                  0.8200000000         Unidimensional X     65.7654226163        Equal GLC            26.6499097274       
4                    2                    100                  0.7900000000         Equal GLC            94.2149476807        Equal GLC            40.1997185613       
4                    3                    100                  0.8200000000         Equal GLC            81.8119955878        Equal GLC            33.9982425149       
4                    4                    100                  0.8100000000         Equal GLC            53.8605359318        Equal GLC            20.0225126869       
4                    5                    100                  0.8500000000         Equal GLC            64.0320383472        Equal GLC            25.1082638946       
